company,year,award_category,industry_category,industry,country,state_province,certification_status,b_corp_profile
Caravela Coffee,2016,Overall; Community,Agriculture,Agricultural Services,Colombia,Bogota,Certified,https://bcorporation.net/directory/caravela-coffee
Alter Eco,2016,Overall; Community; Environment,Consumer Products & Services,Food & Beverage,United States,California,Certified,https://bcorporation.net/directory/alter-eco
Dhana Inc.,2016,Environment,Consumer Products & Services,"Apparel, Footwear & Accessories",United States,California,Certified,https://bcorporation.net/directory/dhana-inc
Rescue Chocolate,2016,Community,Consumer Products & Services,Food & Beverage,United States,New York,Certified,https://bcorporation.net/directory/rescue-chocolate
Cuento de Luz,2016,Overall; Environment,Consumer Products & Services,Books & Media,Spain,Madrid,Certified,https://bcorporation.net/directory/cuento-de-luz
Oficina da Sustentabilidade,2016,Overall; Workers,Education & Training Services,Education & Training Services,Brazil,Sao Paulo,Certified,https://bcorporation.net/directory/oficina-da-sustentabilidade
DOMI,2016,Community,Energy & Environmental Services,Renewable Energy Generation & Installation,Taiwan,Taipei City,Certified,https://bcorporation.net/directory/domi
Lucky Iron Fish Enterprise,2016,Customers,Health & Human Services,Other,Canada,Ontario,Certified,https://bcorporation.net/directory/lucky-iron-fish-enterprise
Save On Meats,2016,Community,"Restaurant, Hospitality & Travel",Restaurant,Canada,British Columbia,Certified,https://bcorporation.net/directory/save-on-meats
"Rivanna Natural Designs, Inc.",2016,Overall,Retail,Online Marketplace,United States,Virginia,Certified,https://bcorporation.net/directory/rivanna-natural-designs-inc
Courrieros,2016,Community,Transportation & Logistics,Transportation & Logistics,Brazil,Sao Paulo,Certified,https://bcorporation.net/directory/courrieros
"thedatabank, Gbc. (General Benefit Corporation)",2016,Overall; Workers,Business Products & Services,IT Software & Services/Web Design,United States,Minnesota,Certified,https://bcorporation.net/directory/thedatabank-gbc-general-benefit-corporation
"Aunt Bertha, Inc.",2016,Customers,Business Products & Services,IT Software & Services/Web Design,United States,Texas,Certified,https://bcorporation.net/directory/aunt-bertha-inc
The Restorative Leadership Institute,2016,Overall; Customers,Business Products & Services,Management and Financial Consulting,United States,Washington,Certified,https://bcorporation.net/directory/the-restorative-leadership-institute
AlmaNatura,2016,Overall,Business Products & Services,Management and Financial Consulting,Spain,Huelva,Certified,https://bcorporation.net/directory/alma-natura-social-sl
The Big Issue Group,2016,Customers,Business Products & Services,Office Products & Printing,United Kingdom,London,Certified,https://bcorporation.net/directory/the-big-issue-group
Innpact,2016,Customers; Workers,Business Products & Services,Management and Financial Consulting,Luxembourg,Luxembourg,Certified,https://bcorporation.net/directory/innpact
Participate Learning,2016,Overall; Customers,Education & Training Services,Education & Training Services,United States,North Carolina,Certified,https://bcorporation.net/directory/participate
4YOU2 Idiomas,2016,Customers,Education & Training Services,Education & Training Services,Brazil,Sao Paulo,Certified,https://bcorporation.net/directory/4you2-idiomas
Natural Investments LLC,2016,Overall; Customers,Financial Services,Investment Advisor,United States,California,Certified,https://bcorporation.net/directory/natural-investments-llc
